ticker,direction,entryDate,exitDate,entryPrice,exitPrice,R,exitType,holding_hours
SOLUSDT,LONG,2023-10-16 14:00:00,2023-10-18 14:00:00,23.29,23.72,0.4085,TIME,48
SOLUSDT,LONG,2023-10-24 06:00:00,2023-10-26 06:00:00,31.1,32.76,0.7856,TIME,48
SOLUSDT,LONG,2023-11-03 03:00:00,2023-11-05 03:00:00,38.6,42.52,1.3321,TIME,48
SOLUSDT,LONG,2023-11-17 03:00:00,2023-11-17 15:00:00,58.7,54.43714285714286,-1.0821,SL,12
SOLUSDT,LONG,2024-01-31 12:00:00,2024-02-01 01:00:00,99.15,95.71428571428572,-1.172,SL,13
SOLUSDT,LONG,2024-04-02 01:00:00,2024-04-02 02:00:00,189.8,183.88571428571427,-1.1913,SL,1
SOLUSDT,LONG,2024-07-23 20:00:00,2024-07-25 14:00:00,171.99,166.09,-1.1737,SL,42
SOLUSDT,LONG,2024-11-07 00:00:00,2024-11-07 18:00:00,186.59,196.18428571428572,1.7682,TP,18
BNBUSDT,LONG,2021-01-02 14:00:00,2021-01-02 21:00:00,38.1389,37.23571428571429,-1.2517,SL,7
BNBUSDT,LONG,2021-01-03 13:00:00,2021-01-04 01:00:00,39.9503,42.03747142857143,1.7718,TP,12
BNBUSDT,LONG,2021-01-04 08:00:00,2021-01-04 10:00:00,40.7688,38.95162857142857,-1.1337,SL,2
BNBUSDT,LONG,2021-01-04 11:00:00,2021-01-06 11:00:00,39.4056,41.5103,0.8882,TIME,48
BNBUSDT,LONG,2021-01-07 11:00:00,2021-01-07 18:00:00,43.5164,41.791085714285714,-1.1503,SL,7
BNBUSDT,LONG,2021-01-08 15:00:00,2021-01-08 20:00:00,42.9886,41.2698,-1.1491,SL,5
BNBUSDT,LONG,2021-01-10 18:00:00,2021-01-10 20:00:00,42.7219,41.03635714285714,-1.1511,SL,2
BNBUSDT,LONG,2021-01-10 21:00:00,2021-01-11 03:00:00,41.7613,39.72291428571429,-1.1221,SL,6
BNBUSDT,LONG,2021-01-14 21:00:00,2021-01-15 15:00:00,41.084,40.17957142857143,-1.2707,SL,18
BNBUSDT,LONG,2021-01-15 23:00:00,2021-01-17 00:00:00,40.9708,44.14834285714285,1.8463,TP,25
BNBUSDT,LONG,2021-01-25 17:00:00,2021-01-25 20:00:00,42.4592,41.393057142857145,-1.2374,SL,3
BNBUSDT,LONG,2021-01-29 04:00:00,2021-01-30 12:00:00,42.3965,44.0237,1.6894,TP,32
BNBUSDT,LONG,2021-02-06 02:00:00,2021-02-06 09:00:00,63.6316,72.86605714285714,1.9179,TP,7
BNBUSDT,LONG,2021-02-06 11:00:00,2021-02-07 15:00:00,72.7577,66.62581428571428,-1.0707,SL,28
BNBUSDT,LONG,2021-02-07 16:00:00,2021-02-08 07:00:00,66.7484,74.60128571428572,1.8987,TP,15
BNBUSDT,LONG,2021-02-08 13:00:00,2021-02-08 23:00:00,72.3732,79.84988571428572,1.8846,TP,10
BNBUSDT,LONG,2021-02-09 11:00:00,2021-02-09 15:00:00,91.2043,105.76844285714287,1.9254,TP,4
BNBUSDT,LONG,2021-02-09 18:00:00,2021-02-10 05:00:00,107.9246,131.99148571428572,1.9465,TP,11
BNBUSDT,LONG,2021-02-10 12:00:00,2021-02-12 13:00:00,132.9984,134.1885,0.0226,TIME,48
BNBUSDT,LONG,2021-02-12 19:00:00,2021-02-13 11:00:00,134.8904,125.33927142857142,-1.0842,SL,16
BNBUSDT,LONG,2021-02-15 06:00:00,2021-02-17 06:00:00,125.3587,128.7778,0.3106,TIME,48
BNBUSDT,LONG,2021-02-17 18:00:00,2021-02-17 20:00:00,152.6349,170.24164285714284,1.8967,TP,2
BNBUSDT,LONG,2021-02-17 21:00:00,2021-02-18 08:00:00,167.3792,192.9902857142857,1.9221,TP,11
BNBUSDT,LONG,2021-02-19 10:00:00,2021-02-19 14:00:00,252.4222,315.5647714285714,1.9523,TP,4
BNBUSDT,LONG,2021-02-19 19:00:00,2021-02-20 20:00:00,315.4148,262.4673714285715,-1.0355,SL,25
BNBUSDT,LONG,2021-02-22 10:00:00,2021-02-22 12:00:00,263.1011,240.31959999999998,-1.0688,SL,2
BNBUSDT,LONG,2021-02-22 13:00:00,2021-02-22 14:00:00,251.8097,226.70864285714285,-1.0598,SL,1
BNBUSDT,LONG,2021-02-22 19:00:00,2021-02-23 08:00:00,256.4417,221.32944285714288,-1.0435,SL,13
BNBUSDT,LONG,2021-03-01 17:00:00,2021-03-02 19:00:00,249.2435,230.41995714285713,-1.0789,SL,26
BNBUSDT,LONG,2021-03-03 13:00:00,2021-03-03 14:00:00,254.5803,244.2716857142857,-1.1472,SL,1
BNBUSDT,LONG,2021-03-03 15:00:00,2021-03-04 18:00:00,243.954,232.9648857142857,-1.1323,SL,27
BNBUSDT,LONG,2021-03-07 14:00:00,2021-03-07 20:00:00,238.6004,230.84495714285717,-1.1834,SL,6
BNBUSDT,LONG,2021-03-09 07:00:00,2021-03-09 09:00:00,243.3674,257.31545714285716,1.792,TP,2
BNBUSDT,LONG,2021-03-09 10:00:00,2021-03-09 15:00:00,259.8528,279.3632,1.8412,TP,5
BNBUSDT,LONG,2021-03-10 01:00:00,2021-03-10 02:00:00,287.0591,271.63307142857144,-1.1109,SL,1
BNBUSDT,LONG,2021-03-12 13:00:00,2021-03-12 14:00:00,274.8865,263.46464285714285,-1.1434,SL,1
BNBUSDT,LONG,2021-03-13 14:00:00,2021-03-14 11:00:00,276.9075,265.49435714285715,-1.1446,SL,21
BNBUSDT,LONG,2021-03-15 11:00:00,2021-03-16 00:00:00,257.9518,248.06554285714284,-1.1555,SL,13
BNBUSDT,LONG,2021-03-30 16:00:00,2021-03-31 08:00:00,296.4035,285.18510000000003,-1.1575,SL,16
BNBUSDT,LONG,2021-03-31 20:00:00,2021-04-01 14:00:00,300.9994,329.6008857142857,1.8746,TP,18
BNBUSDT,LONG,2021-04-05 19:00:00,2021-04-06 20:00:00,371.1152,403.3132571428572,1.8626,TP,25
BNBUSDT,LONG,2021-04-12 10:00:00,2021-04-14 10:00:00,558.7838,571.4354,0.2143,TIME,48
BNBUSDT,LONG,2021-04-15 04:00:00,2021-04-16 04:00:00,545.399,515.2622857142857,-1.1079,SL,24
BNBUSDT,LONG,2021-04-16 15:00:00,2021-04-18 03:00:00,512.102,475.5122857142857,-1.0834,SL,36
BNBUSDT,LONG,2021-04-26 10:00:00,2021-04-26 21:00:00,543.57,517.1414285714286,-1.1226,SL,11
BNBUSDT,LONG,2021-05-04 13:00:00,2021-05-04 14:00:00,648.49,616.4228571428572,-1.1205,SL,1
BNBUSDT,LONG,2021-05-10 11:00:00,2021-05-10 19:00:00,663.97,643.2842857142857,-1.1913,SL,8
BNBUSDT,LONG,2021-05-26 11:00:00,2021-05-27 01:00:00,377.61,353.55,-1.0935,SL,14
BNBUSDT,LONG,2021-06-04 05:00:00,2021-06-04 06:00:00,401.39,383.2314285714286,-1.1317,SL,1
BNBUSDT,LONG,2021-06-09 21:00:00,2021-06-10 20:00:00,365.81,347.86,-1.1215,SL,23
BNBUSDT,LONG,2021-06-13 21:00:00,2021-06-14 08:00:00,366.8,356.20714285714286,-1.2064,SL,11
BNBUSDT,LONG,2021-06-14 09:00:00,2021-06-16 09:00:00,357.46,361.93,0.1956,TIME,48
BNBUSDT,LONG,2021-06-16 19:00:00,2021-06-18 14:00:00,351.58,340.84,-1.1951,SL,43
BNBUSDT,LONG,2021-06-30 14:00:00,2021-07-02 03:00:00,290.93,280.5842857142857,-1.1676,SL,37
BNBUSDT,LONG,2021-07-26 02:00:00,2021-07-26 07:00:00,323.11,314.41857142857145,-1.2216,SL,5
BNBUSDT,LONG,2021-07-26 08:00:00,2021-07-26 20:00:00,317.46,306.89714285714285,-1.1791,SL,12
BNBUSDT,LONG,2021-07-27 19:00:00,2021-07-29 19:00:00,307.48,313.32,0.4091,TIME,48
BNBUSDT,LONG,2021-07-31 09:00:00,2021-07-31 11:00:00,322.47,336.35285714285715,1.7231,TP,2
BNBUSDT,LONG,2021-07-31 12:00:00,2021-08-02 12:00:00,331.84,330.25,-0.4274,TIME,48
BNBUSDT,LONG,2021-08-02 22:00:00,2021-08-03 04:00:00,330.7,323.04285714285714,-1.2574,SL,6
BNBUSDT,LONG,2021-08-12 17:00:00,2021-08-13 09:00:00,375.11,405.55571428571426,1.8531,TP,12
BNBUSDT,LONG,2021-08-23 11:00:00,2021-08-24 13:00:00,496.32,480.13142857142856,-1.1827,SL,26
BNBUSDT,LONG,2021-10-01 12:00:00,2021-10-03 12:00:00,415.4,428.6,0.899,TIME,48
BNBUSDT,LONG,2021-10-11 05:00:00,2021-10-11 20:00:00,416.1,406.51428571428573,-1.2587,SL,15
BNBUSDT,LONG,2021-10-17 09:00:00,2021-10-17 19:00:00,468.3,461.2285714285714,-1.3947,SL,10
BNBUSDT,LONG,2021-10-20 15:00:00,2021-10-21 06:00:00,497.2,491.31428571428575,-1.5035,SL,15
BNBUSDT,LONG,2021-10-21 13:00:00,2021-10-21 14:00:00,485.9,472.09999999999997,-1.2099,SL,1
BNBUSDT,LONG,2021-10-21 19:00:00,2021-10-23 19:00:00,473.4,481.3,0.3075,TIME,48
BNBUSDT,LONG,2021-11-11 14:00:00,2021-11-12 16:00:00,624.0,608.2571428571429,-1.2362,SL,26
BNBUSDT,LONG,2021-11-25 13:00:00,2021-11-26 03:00:00,639.0,620.6714285714286,-1.2078,SL,14
BNBUSDT,LONG,2022-02-04 17:00:00,2022-02-05 03:00:00,389.5,406.4428571428571,1.726,TP,10
BNBUSDT,LONG,2022-02-05 06:00:00,2022-02-05 15:00:00,429.5,417.7857142857143,-1.2185,SL,9
BNBUSDT,LONG,2022-02-15 10:00:00,2022-02-17 10:00:00,426.3,421.2,-0.6057,TIME,48
BNBUSDT,LONG,2022-03-09 05:00:00,2022-03-10 01:00:00,397.9,388.42857142857144,-1.2504,SL,20
BNBUSDT,LONG,2022-03-28 01:00:00,2022-03-30 01:00:00,429.3,428.3,-0.5084,TIME,48
BNBUSDT,LONG,2022-06-06 10:00:00,2022-06-06 13:00:00,310.9,305.77142857142854,-1.3613,SL,3
BNBUSDT,LONG,2022-06-09 16:00:00,2022-06-09 20:00:00,290.8,287.3285714285715,-1.4993,SL,4
BNBUSDT,LONG,2022-07-08 06:00:00,2022-07-10 02:00:00,241.6,236.5,-1.2823,SL,44
BNBUSDT,LONG,2022-07-20 09:00:00,2022-07-20 20:00:00,264.5,259.2142857142857,-1.2982,SL,11
BNBUSDT,LONG,2022-07-27 19:00:00,2022-07-28 20:00:00,266.9,280.7571428571428,1.7704,TP,25
BNBUSDT,LONG,2022-09-09 06:00:00,2022-09-11 06:00:00,289.7,293.4,0.433,TIME,48
BNBUSDT,LONG,2022-09-27 03:00:00,2022-09-27 16:00:00,281.5,277.81428571428575,-1.4552,SL,13
BNBUSDT,LONG,2022-10-14 14:00:00,2022-10-14 16:00:00,273.7,270.07142857142856,-1.4496,SL,2
BNBUSDT,LONG,2022-10-25 19:00:00,2022-10-25 22:00:00,288.7,284.7142857142857,-1.4317,SL,3
BNBUSDT,LONG,2022-12-13 02:00:00,2022-12-13 03:00:00,273.0,266.57142857142856,-1.2531,SL,1
BNBUSDT,LONG,2023-01-09 01:00:00,2023-01-09 20:00:00,278.4,273.1142857142857,-1.3139,SL,19
BNBUSDT,LONG,2023-01-14 01:00:00,2023-01-14 06:00:00,299.8,312.2857142857143,1.7138,TP,5
BNBUSDT,LONG,2023-01-14 10:00:00,2023-01-15 08:00:00,305.4,294.0,-1.1597,SL,22
BNBUSDT,LONG,2023-01-20 22:00:00,2023-01-22 22:00:00,302.4,301.6,-0.5265,TIME,48
BNBUSDT,LONG,2023-02-15 21:00:00,2023-02-16 01:00:00,314.6,325.9714285714286,1.6702,TP,4
BNBUSDT,LONG,2023-02-16 02:00:00,2023-02-16 20:00:00,321.3,313.7,-1.252,SL,18
BNBUSDT,LONG,2023-03-13 00:00:00,2023-03-13 04:00:00,288.1,299.8428571428571,1.7076,TP,4
BNBUSDT,LONG,2023-03-13 05:00:00,2023-03-14 15:00:00,299.3,319.27142857142854,1.8214,TP,34
BNBUSDT,LONG,2023-04-11 02:00:00,2023-04-11 06:00:00,322.0,327.9428571428572,1.3541,TP,4
BNBUSDT,LONG,2023-04-11 07:00:00,2023-04-11 16:00:00,332.4,327.5142857142857,-1.4055,SL,9
BNBUSDT,LONG,2023-05-01 00:00:00,2023-05-01 05:00:00,337.5,331.57142857142856,-1.3393,SL,5
BNBUSDT,LONG,2023-06-21 02:00:00,2023-06-22 14:00:00,249.1,244.97142857142856,-1.3596,SL,36
BNBUSDT,LONG,2023-08-29 17:00:00,2023-08-30 01:00:00,229.3,224.8,-1.3037,SL,8
BNBUSDT,LONG,2023-10-24 06:00:00,2023-10-24 15:00:00,228.7,221.54285714285714,-1.1904,SL,9
BNBUSDT,LONG,2024-02-28 19:00:00,2024-02-29 22:00:00,409.6,394.12857142857143,-1.1578,SL,27
XRPUSDT,LONG,2021-01-03 21:00:00,2021-01-04 06:00:00,0.22501000000000002,0.2511671428571429,1.8975,TP,9
XRPUSDT,LONG,2021-01-04 09:00:00,2021-01-06 09:00:00,0.23503000000000002,0.22584,-0.5655,TIME,48
XRPUSDT,LONG,2021-01-06 10:00:00,2021-01-06 14:00:00,0.22583000000000003,0.24359571428571433,1.8485,TP,4
XRPUSDT,LONG,2021-01-06 16:00:00,2021-01-07 03:00:00,0.24658000000000002,0.27738,1.9046,TP,11
XRPUSDT,LONG,2021-01-07 09:00:00,2021-01-07 11:00:00,0.29389000000000004,0.35709571428571435,1.9446,TP,2
XRPUSDT,LONG,2021-01-07 13:00:00,2021-01-07 18:00:00,0.33640000000000003,0.2919214285714286,-1.0451,SL,5
XRPUSDT,LONG,2021-01-07 19:00:00,2021-01-09 19:00:00,0.32183,0.32734,0.0663,TIME,48
XRPUSDT,LONG,2021-01-10 18:00:00,2021-01-10 20:00:00,0.32076000000000005,0.28938428571428576,-1.0609,SL,2
XRPUSDT,LONG,2021-01-10 21:00:00,2021-01-11 03:00:00,0.31343000000000004,0.2826085714285715,-1.0606,SL,6
XRPUSDT,LONG,2021-01-15 15:00:00,2021-01-15 16:00:00,0.28232,0.27313,-1.1831,SL,1
XRPUSDT,LONG,2021-01-15 23:00:00,2021-01-17 23:00:00,0.27575,0.27746000000000004,0.0051,TIME,48
XRPUSDT,LONG,2021-01-19 10:00:00,2021-01-20 03:00:00,0.30456,0.28767857142857145,-1.1075,SL,17
XRPUSDT,LONG,2021-01-25 16:00:00,2021-01-25 19:00:00,0.27793,0.2711714285714286,-1.2451,SL,3
XRPUSDT,LONG,2021-01-29 10:00:00,2021-01-30 10:00:00,0.28148,0.32618285714285716,1.9249,TP,24
XRPUSDT,LONG,2021-01-30 21:00:00,2021-02-01 03:00:00,0.37905000000000005,0.52837,1.9697,TP,30
XRPUSDT,LONG,2021-02-01 12:00:00,2021-02-01 13:00:00,0.61516,0.5047414285714287,-1.0332,SL,1
XRPUSDT,LONG,2021-02-01 14:00:00,2021-02-03 14:00:00,0.46859000000000006,0.3794,-0.6057,TIME,48
XRPUSDT,LONG,2021-02-05 02:00:00,2021-02-07 02:00:00,0.45039,0.43905000000000005,-0.3241,TIME,48
XRPUSDT,LONG,2021-02-07 15:00:00,2021-02-07 16:00:00,0.43138000000000004,0.41370428571428575,-1.1455,SL,1
